mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__model__learning_rate,param_classifier__threshold,params,split0_test_Self_Score,split1_test_Self_Score,split2_test_Self_Score,split3_test_Self_Score,split4_test_Self_Score,mean_test_Self_Score,std_test_Self_Score,rank_test_Self_Score,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,mean_test_F1,std_test_F1,rank_test_F1,split0_test_Recall,split1_test_Recall,split2_test_Recall,split3_test_Recall,split4_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy,split0_test_ROC_AUC,split1_test_ROC_AUC,split2_test_ROC_AUC,split3_test_ROC_AUC,split4_test_ROC_AUC,mean_test_ROC_AUC,std_test_ROC_AUC,rank_test_ROC_AUC,split0_test_Balanced_Accuracy,split1_test_Balanced_Accuracy,split2_test_Balanced_Accuracy,split3_test_Balanced_Accuracy,split4_test_Balanced_Accuracy,mean_test_Balanced_Accuracy,std_test_Balanced_Accuracy,rank_test_Balanced_Accuracy
0.8393742084503174,0.08881120856610955,0.07776732444763183,0.0015277938925924851,0.2589254117941673,0.2,"{'classifier__model__learning_rate': 0.2589254117941673, 'classifier__threshold': 0.2}",-0.9041666666666667,-0.9083333333333333,-0.8333333333333334,-1.025,-0.75,-0.8841666666666667,0.09099755796479128,6,0.13953488372093023,0.13636363636363635,0.20833333333333331,0.048780487804878044,0.30769230769230765,0.16814092978301712,0.08621488704060042,6,0.13043478260869565,0.13043478260869565,0.21739130434782608,0.041666666666666664,0.3333333333333333,0.17065217391304346,0.09851075489548192,4,0.8458333333333333,0.8416666666666667,0.8416666666666667,0.8375,0.85,0.8433333333333334,0.004249182927993972,10,0.5908635543979163,0.5285513925065117,0.523542376277299,0.5441743827160493,0.6259645061728395,0.5626192424141232,0.03959342448888103,1,0.5260468843919054,0.5237427369264677,0.5626127028651573,0.4837962962962963,0.6203703703703703,0.5433137981700394,0.045899169536296025,6
0.7442334175109864,0.07723472019673204,0.07297716140747071,0.007395733060096511,0.2589254117941673,0.3,"{'classifier__model__learning_rate': 0.2589254117941673, 'classifier__threshold': 0.3}",-0.8875,-0.8833333333333333,-0.825,-1.0625,-0.8083333333333333,-0.8933333333333333,0.09016189143239325,10,0.15384615384615383,0.15789473684210528,0.21739130434782608,0.0,0.2727272727272727,0.1603718935526716,0.091260955794524,10,0.13043478260869565,0.13043478260869565,0.21739130434782608,0.0,0.25,0.14565217391304347,0.08684775806712251,7,0.8625,0.8666666666666667,0.85,0.8375,0.8666666666666667,0.8566666666666667,0.011365151414154891,9,0.5908635543979163,0.5285513925065117,0.523542376277299,0.5441743827160493,0.6259645061728395,0.5626192424141232,0.03959342448888103,1,0.5352634742536566,0.5375676217190943,0.5672209977960329,0.4652777777777778,0.5925925925925926,0.5395844928278308,0.04270330647536741,10
0.7192000389099121,0.04033899463119124,0.07147026062011719,0.007863320057526962,0.2589254117941673,0.4,"{'classifier__model__learning_rate': 0.2589254117941673, 'classifier__threshold': 0.4}",-0.8833333333333333,-0.8791666666666667,-0.8208333333333333,-1.05,-0.8,-0.8866666666666665,0.08785246470962302,7,0.15789473684210528,0.16216216216216214,0.22222222222222224,0.0,0.28571428571428575,0.1655986813881551,0.09500322887425856,7,0.13043478260869565,0.13043478260869565,0.21739130434782608,0.0,0.25,0.14565217391304347,0.08684775806712251,7,0.8666666666666667,0.8708333333333333,0.8541666666666666,0.85,0.875,0.8633333333333333,0.009646530752325206,7,0.5908635543979163,0.5285513925065117,0.523542376277299,0.5441743827160493,0.6259645061728395,0.5626192424141232,0.03959342448888103,1,0.5375676217190943,0.5398717691845322,0.5695251452614707,0.4722222222222222,0.5972222222222222,0.5432817961219083,0.041694186783216555,7
0.6915906429290771,0.030445899541271724,0.08111109733581542,0.012584867514415062,0.2589254117941673,0.5,"{'classifier__model__learning_rate': 0.2589254117941673, 'classifier__threshold': 0.5}",-0.8833333333333333,-0.8666666666666667,-0.8583333333333333,-1.0458333333333334,-0.7916666666666666,-0.8891666666666668,0.08431093246627828,8,0.15789473684210528,0.1764705882352941,0.18604651162790697,0.0,0.3,0.16408236734106127,0.09599042094107772,8,0.13043478260869565,0.13043478260869565,0.17391304347826086,0.0,0.25,0.13695652173913042,0.0812240943142148,9,0.8666666666666667,0.8833333333333333,0.8541666666666666,0.8541666666666666,0.8833333333333333,0.8683333333333334,0.013070322617798436,6,0.5908635543979163,0.5285513925065117,0.523542376277299,0.5441743827160493,0.6259645061728395,0.5626192424141232,0.03959342448888103,1,0.5375676217190943,0.5467842115808456,0.5500901622921258,0.47453703703703703,0.6018518518518519,0.542166176896191,0.040598874003159924,8
0.68315749168396,0.021369823213806007,0.07246036529541015,0.007407809784040642,0.2589254117941673,0.6,"{'classifier__model__learning_rate': 0.2589254117941673, 'classifier__threshold': 0.6}",-0.8791666666666667,-0.8583333333333333,-0.85,-1.0375,-0.825,-0.89,0.07576462088453809,9,0.16216216216216214,0.18750000000000003,0.1951219512195122,0.0,0.2702702702702703,0.16301087673038894,0.08911642050119803,9,0.13043478260869565,0.13043478260869565,0.17391304347826086,0.0,0.20833333333333334,0.1286231884057971,0.07064752864699336,10,0.8708333333333333,0.8916666666666667,0.8625,0.8625,0.8875,0.875,0.01236033081182609,3,0.5908635543979163,0.5285513925065117,0.523542376277299,0.5441743827160493,0.6259645061728395,0.5626192424141232,0.03959342448888103,1,0.5398717691845322,0.5513925065117211,0.5546984572230014,0.4791666666666667,0.5856481481481481,0.5421555095468138,0.03494872546822198,9
0.45392794609069825,0.12991596998736507,0.055318784713745114,0.008598696777495599,0.5848931924611136,0.2,"{'classifier__model__learning_rate': 0.5848931924611136, 'classifier__threshold': 0.2}",-0.8166666666666667,-0.9083333333333333,-0.8625,-0.9583333333333334,-0.7208333333333333,-0.8533333333333335,0.08128311291064366,2,0.22727272727272724,0.13636363636363635,0.1818181818181818,0.1111111111111111,0.35555555555555557,0.20242424242424245,0.08624772184537983,1,0.21739130434782608,0.13043478260869565,0.17391304347826086,0.08333333333333333,0.3333333333333333,0.18768115942028984,0.08538433809655324,1,0.8583333333333333,0.8416666666666667,0.85,0.8666666666666667,0.8791666666666667,0.8591666666666666,0.013017082793177757,8,0.5726307353235824,0.4780605089160489,0.5313564415948707,0.5320216049382717,0.6412037037037036,0.5510545988952955,0.054167887521719235,6,0.5718292927269084,0.5237427369264677,0.547786014826688,0.5185185185185185,0.6365740740740741,0.5596901274145313,0.04286612822945468,3
0.3754002094268799,0.016991629834829134,0.04710187911987305,0.0014085771880927714,0.5848931924611136,0.3,"{'classifier__model__learning_rate': 0.5848931924611136, 'classifier__threshold': 0.3}",-0.8041666666666667,-0.8833333333333333,-0.8625,-0.9833333333333333,-0.7208333333333333,-0.8508333333333333,0.08697860528760952,1,0.24390243902439024,0.15789473684210528,0.1818181818181818,0.06451612903225806,0.35555555555555557,0.20073740845449822,0.09652103102509837,2,0.21739130434782608,0.13043478260869565,0.17391304347826086,0.041666666666666664,0.3333333333333333,0.17934782608695649,0.09647483301227788,2,0.8708333333333333,0.8666666666666667,0.85,0.8791666666666667,0.8791666666666667,0.8691666666666666,0.010736748938937606,5,0.5726307353235824,0.4780605089160489,0.5313564415948707,0.5320216049382717,0.6412037037037036,0.5510545988952955,0.054167887521719235,6,0.5787417351232218,0.5375676217190943,0.547786014826688,0.5069444444444444,0.6365740740740741,0.5615227780375045,0.04397847699826231,1
0.3712450981140137,0.02680085408932141,0.04459071159362793,0.00689054328154692,0.5848931924611136,0.4,"{'classifier__model__learning_rate': 0.5848931924611136, 'classifier__threshold': 0.4}",-0.8041666666666667,-0.8791666666666667,-0.8583333333333333,-0.975,-0.7583333333333333,-0.8550000000000001,0.07338066654250437,3,0.24390243902439024,0.16216216216216214,0.18604651162790697,0.06896551724137931,0.32558139534883723,0.1973316050809352,0.08539197483914131,3,0.21739130434782608,0.13043478260869565,0.17391304347826086,0.041666666666666664,0.2916666666666667,0.17101449275362318,0.08377795689649953,3,0.8708333333333333,0.8708333333333333,0.8541666666666666,0.8875,0.8791666666666667,0.8724999999999999,0.011055415967851331,4,0.5726307353235824,0.4780605089160489,0.5313564415948707,0.5320216049382717,0.6412037037037036,0.5510545988952955,0.054167887521719235,6,0.5787417351232218,0.5398717691845322,0.5500901622921258,0.5115740740740741,0.6180555555555556,0.559666659245902,0.03624793910539442,4
0.3796246528625488,0.011731855816914208,0.04597768783569336,0.007443154804094907,0.5848931924611136,0.5,"{'classifier__model__learning_rate': 0.5848931924611136, 'classifier__threshold': 0.5}",-0.8,-0.8708333333333333,-0.8541666666666666,-1.0166666666666666,-0.75,-0.8583333333333332,0.08986873143028605,5,0.25,0.1714285714285714,0.1904761904761905,0.0,0.34146341463414637,0.19067363530778164,0.11223548615883408,5,0.21739130434782608,0.13043478260869565,0.17391304347826086,0.0,0.2916666666666667,0.16268115942028985,0.09722304737550036,5,0.875,0.8791666666666667,0.8583333333333333,0.8833333333333333,0.8875,0.8766666666666666,0.01006920497799548,2,0.5726307353235824,0.4780605089160489,0.5313564415948707,0.5320216049382717,0.6412037037037036,0.5510545988952955,0.054167887521719235,6,0.5810458825886596,0.5444800641154077,0.5523943097575637,0.49074074074074076,0.6226851851851852,0.5582692364775114,0.043480901165568686,5
0.37805771827697754,0.028645540271166232,0.04984550476074219,0.004347238449840921,0.5848931924611136,0.6,"{'classifier__model__learning_rate': 0.5848931924611136, 'classifier__threshold': 0.6}",-0.7916666666666666,-0.8708333333333333,-0.8458333333333333,-1.0166666666666666,-0.75,-0.8550000000000001,0.09111195799064405,3,0.26315789473684204,0.1714285714285714,0.19999999999999998,0.0,0.34146341463414637,0.19520997615991192,0.11375625014583736,4,0.21739130434782608,0.13043478260869565,0.17391304347826086,0.0,0.2916666666666667,0.16268115942028985,0.09722304737550036,5,0.8833333333333333,0.8791666666666667,0.8666666666666667,0.8833333333333333,0.8875,0.8799999999999999,0.007168604389202164,1,0.5726307353235824,0.4780605089160489,0.5313564415948707,0.5320216049382717,0.6412037037037036,0.5510545988952955,0.054167887521719235,6,0.5856541775195352,0.5444800641154077,0.5570026046884392,0.49074074074074076,0.6226851851851852,0.5601125544498616,0.043895794115247036,2
